gene,length,type,strand
COX1,1548,gene,+
Ser,70,tRNA,-
Asp,68,tRNA,+
COX2,685,gene,+
Lys,63,tRNA,+
ATP8,159,gene,+
ATP6,682,gene,+
COX3,784,gene,+
Gly,65,tRNA,+
NADH3,340,gene,+
Arg,67,tRNA,+
NADH4L,291,gene,+
NADH4,1365,gene,+
His,63,tRNA,+
Ser,59,tRNA,+
Leu,69,tRNA,+
NADH5,1770,gene,+
NADH6,483,gene,-
Glu,70,tRNA,-
CYTB,1138,gene,+
Thr,65,tRNA,+
control region,636,d-loop,+
Pro,70,tRNA,-
Phe,68,tRNA,+
control region,348,d-loop,+
12S,878,rRNA,+
Val,65,tRNA,+
16S,1480,rRNA,+
Leu,74,tRNA,+
NADH1,966,gene,+
Gln,73,tRNA,-
Ile,66,tRNA,+
Met,64,tRNA,+
NADH2,1035,gene,+
Trp,73,tRNA,+
Ala,70,tRNA,-
Asn,72,tRNA,-
Cys,59,tRNA,-
Tyr,66,tRNA,-
