gene,length,type,strand
control region,1181,d-loop,+
Gln,69,tRNA,-
Ser,67,tRNA,-
Asn,64,tRNA,-
12S,784,rRNA,+
Val,70,tRNA,+
16S,1265,rRNA,+
Leu,62,tRNA,+
NADH1,942,gene,+
Pro,64,tRNA,+
Ser,64,tRNA,-
CYTB,1135,gene,-
NADH6,516,gene,-
Thr,66,tRNA,-
NADH4L,294,gene,+
NADH4,1344,gene,+
His,64,tRNA,+
NADH5,1734,gene,+
Phe,64,tRNA,+
Ile,66,tRNA,+
Met,67,tRNA,+
NADH2,993,gene,+
Trp,67,tRNA,+
Cys,64,tRNA,-
Tyr,65,tRNA,-
COX1,1545,gene,+
Leu,63,tRNA,+
COX2,640,gene,+
Lys,63,tRNA,+
Asp,66,tRNA,+
ATP8,159,gene,+
ATP6,675,gene,+
COX3,789,gene,+
Gly,62,tRNA,+
NADH3,354,gene,+
Ala,61,tRNA,+
Arg,61,tRNA,+
Glu,62,tRNA,+
